NAME,LATITUDE,LONGITUDE,My Latitude,My Longitude,Distance between in Km,Euclidean Ranking,Eucledian Distance,Manhattan Ranking,Manhattan Distance,Minkowski Ranking,Minkowski Distance
New York Botanical Garden,40.86387979,-73.8782681,40.7128,-74.006,0.1519,4,0.197839685,4,0.27881169,4,0.197839685
Brooklyn Botanic Garden,40.66731538,-73.96340682,40.7128,-74.006,0.0455,1,0.062313962,2,-0.002891442,1,0.062313962
Queens Botanical Garden,40.75045693,-73.82957497,40.7128,-74.006,0.0377,3,0.180399101,3,0.214081963,3,0.180399101
Snug Harbor Cultural Center and Botanical Garden,40.64510127,-74.10455649,40.7128,-74.006,0.0677,2,0.11956797,1,-0.166255218,2,0.11956797
13th Street Community Park & Garden,38.88519281,-76.98809696,40.7128,-74.006,,,,,,,
Arboretum Youth Garden,38.91339294,-76.97113277,40.7128,-74.006,,,,,,,
Armed Forces Retirement Home Community-Resident Garden,38.93669279,-77.01828802,40.7128,-74.006,,,,,,,
Beet St Garden - Richardson Dwellings,38.8928598,-76.9240344,40.7128,-74.006,,,,,,,
Benning Garden,38.87970319,-76.92839488,40.7128,-74.006,,,,,,,
Bethel Christian Fellowship (11th St Bridge Park Plot),38.86413307,-76.98968363,40.7128,-74.006,,,,,,,
Blair Road Community Garden,38.96058095,-77.00834484,40.7128,-74.006,,,,,,,
Brainfood Youth Garden,38.90266594,-77.02485911,40.7128,-74.006,,,,,,,
Bread for the City Rooftop Garden,38.91012189,-77.02165539,40.7128,-74.006,,,,,,,
Bruce Monroe,38.92820932,-77.02451409,40.7128,-74.006,,,,,,,
CAFB Urban Demonstration Garden,38.94919459,-77.00055672,40.7128,-74.006,,,,,,,
Dix St Garden (SoilFul Gardens),38.89509486,-76.92368699,40.7128,-74.006,,,,,,,
Douglass Garden,38.85283586,-76.97781102,40.7128,-74.006,,,,,,,
Edgewood Gardens,38.92470284,-77.00177512,40.7128,-74.006,,,,,,,
Emery Garden,38.95982689,-77.02625777,40.7128,-74.006,,,,,,,
Euclid Street Garden,38.9233315,-77.03281326,40.7128,-74.006,,,,,,,
Ferebee Hope Community Garden,38.83277648,-76.99676097,40.7128,-74.006,,,,,,,
Fort Dupont Park Gardens,38.87654251,-76.94992719,40.7128,-74.006,,,,,,,
Fort Greble Garden,38.82664243,-77.01489353,40.7128,-74.006,,,,,,,
Fort Reno Garden,38.95163128,-77.07968944,40.7128,-74.006,,,,,,,
Fort Stanton Community Garden,38.85758267,-76.97872838,40.7128,-74.006,,,,,,,
Fort Stevens Community Garden,38.96367546,-77.03046683,40.7128,-74.006,,,,,,,
Friendship Garden,38.94439003,-77.08785661,40.7128,-74.006,,,,,,,
Ft. Stevens Garden,38.97052659,-77.03096726,40.7128,-74.006,,,,,,,
Glover Archbold Garden,38.92524812,-77.08199862,40.7128,-74.006,,,,,,,
Green SEED Community Garden,38.88343611,-76.97988634,40.7128,-74.006,,,,,,,
GroW Garden (GW University),38.8996889,-77.05100811,40.7128,-74.006,,,,,,,
Hamilton Garden,38.95250357,-77.03132866,40.7128,-74.006,,,,,,,
Harry Thomas Gardens,38.91431829,-77.0066738,40.7128,-74.006,,,,,,,
Hill East Community Garden,38.88463381,-76.97992031,40.7128,-74.006,,,,,,,
Hillcrest Garden,38.85791265,-76.96325681,40.7128,-74.006,,,,,,,
Hilton Garden,38.89254014,-76.99872728,40.7128,-74.006,,,,,,,
Howard University Community Garden (Halo Green),38.92040695,-77.02494489,40.7128,-74.006,,,,,,,
Kalorama Garden,38.91993175,-77.04447098,40.7128,-74.006,,,,,,,
Kingman Park-Rosdale Community Garden,38.89546848,-76.97554406,40.7128,-74.006,,,,,,,
King's Court Community Garden,38.88640345,-76.98434993,40.7128,-74.006,,,,,,,
Langdon Youth & Community Garden,38.92557934,-76.97184419,40.7128,-74.006,,,,,,,
Lederer Youth Garden,38.89843664,-76.93292649,40.7128,-74.006,,,,,,,
Ledroit Gardens,38.91790346,-77.0166646,40.7128,-74.006,,,,,,,
Lincoln Heights,38.89510839,-76.92991405,40.7128,-74.006,,,,,,,
Lovejoy Community Garden,38.89550257,-76.99096833,40.7128,-74.006,,,,,,,
Mamie D. Lee Garden,38.95291841,-77.0064511,40.7128,-74.006,,,,,,,
Melvin Hazen Garden,38.93940473,-77.06214223,40.7128,-74.006,,,,,,,
Montana Garden,38.92166747,-76.9809989,40.7128,-74.006,,,,,,,
Mother Peace Garden,38.83982985,-76.98850537,40.7128,-74.006,,,,,,,
National Community church (11th St Bridge Park Plot),38.87810339,-76.99560002,40.7128,-74.006,,,,,,,
Newark Street Community Garden,38.93527601,-77.07599457,40.7128,-74.006,,,,,,,
Noyes Gardens,38.92581261,-76.99132403,40.7128,-74.006,,,,,,,
Palisades Garden,38.92455506,-77.10457413,40.7128,-74.006,,,,,,,
Peabody Garden,38.96303001,-77.02528646,40.7128,-74.006,,,,,,,
Petworth 10th Quincy Kansas Community Garden,38.93812909,-77.02789382,40.7128,-74.006,,,,,,,
Pomegranate Alley Community Garden,38.8787809,-76.99220183,40.7128,-74.006,,,,,,,
Rock Creek Garden,38.9667148,-77.05361741,40.7128,-74.006,,,,,,,
RockStAr Garden,38.88597484,-76.97704736,40.7128,-74.006,,,,,,,
Shipley Community Garden,38.84801843,-76.97088509,40.7128,-74.006,,,,,,,
Southwest Garden,38.87804673,-77.01278688,40.7128,-74.006,,,,,,,
Taft Field Garden,38.93635643,-76.97710614,40.7128,-74.006,,,,,,,
Takoma Garden,38.96888669,-77.01805168,40.7128,-74.006,,,,,,,
Theodore Hagans Garden,38.9241676,-76.95778988,40.7128,-74.006,,,,,,,
Turkey Thicket Gardens,38.93940566,-76.99243598,40.7128,-74.006,,,,,,,
Twin Oaks Community Garden,38.94080636,-77.03272766,40.7128,-74.006,,,,,,,
Union Temple Baptist Church Garden (11th St Bridge Park Plot),38.86427327,-76.98825945,40.7128,-74.006,,,,,,,
Upshur Garden,38.94268247,-77.0315007,40.7128,-74.006,,,,,,,
Victory Gardens Farm,38.88344417,-76.98318971,40.7128,-74.006,,,,,,,
Virginia Ave Community Garden,38.87750125,-76.99355049,40.7128,-74.006,,,,,,,
Wangari Gardens,38.9303784,-77.01715445,40.7128,-74.006,,,,,,,
West End Garden,38.90808813,-77.05328641,40.7128,-74.006,,,,,,,
Whitehaven Garden,38.91800595,-77.07820073,40.7128,-74.006,,,,,,,
